mean_score,median_score,std_score,var_score,min_score,max_score,skew_score,kurtosis_score,mean_score_log,median_score_log,std_score_log,var_score_log,min_score_log,max_score_log,skew_score_log,kurtosis_score_log,transform_inlier_ratio,valid_count,has_artefact,has_non_csnp
0.00496284,5.0205358e-08,0.046005562,0.0021165118,0.0,0.9947903,14.77710461221224,253.29575431464335,-18.763954,-16.807144,10.573506,111.79904,-111.35788,-0.005223274,-1.3360538881827686,3.1025443892512063,0.7714285714285715,35,False,False
0.0046539116,1.0200264e-08,0.04772876,0.0022780343,2.83e-43,0.9963479,15.506820357758896,269.86465007189645,-20.772993,-18.400852,12.06362,145.53091,-97.969635,-0.0036587715,-1.3915333468983635,2.847734306338712,0.5555555555555556,54,False,False
0.004743294,1.1003627e-08,0.04496322,0.002021691,1.0000000000000001e-45,0.9987786,14.819694476704273,254.8502826707288,-20.337166,-18.32504,11.537954,133.12439,-102.89664,-0.0012221336,-1.3068089207518545,3.095654651452894,0.6875,32,False,False
0.0051290877,3.1128387e-08,0.042666588,0.0018204377,0.0,0.9965375,14.583425756042482,257.640487115348,-18.387438,-17.285145,9.690836,93.9123,-117.15254,-0.0034685135,-0.8806340402974747,1.996478982503464,0.68,25,False,False
0.0054734577,4.0241538e-08,0.051879805,0.002691514,0.0,0.9907509,13.91489051491138,215.77095043596563,-19.245008,-17.028366,11.156021,124.45681,-128.00714,-0.009292126,-1.545996218607115,4.6384498323237615,0.6111111111111112,36,False,False
0.006223335,4.7475666e-08,0.050201744,0.002520215,0.0,0.9993217,12.80826324340918,193.0156254704351,-21.38135,-16.863049,16.088835,258.85062,-142.01588,-0.0006785393,-1.968810388212328,5.236196928994312,0.7142857142857143,21,False,False
0.0059900703,2.478109e-07,0.04874055,0.0023756411,0.0,0.99551594,13.311144297194597,207.55761990154477,-18.09847,-15.2106,12.124039,146.99232,-133.32368,-0.00449419,-2.056697033136869,7.4848429327129296,0.7222222222222222,18,False,False
0.005846579,9.798653e-09,0.055356216,0.0030643106,0.0,0.99621207,13.391956784787196,198.36837367914464,-20.58458,-18.441021,12.298497,151.25304,-123.845695,-0.003795147,-1.9342792817855925,7.353987649710627,0.5333333333333333,45,False,False
0.005786354,1.268427e-08,0.056065213,0.003143308,0.0,0.9959161,13.799397114328038,209.03906266131847,-20.367792,-18.182903,11.761819,138.3404,-124.070015,-0.0040922165,-1.5050365594515365,3.942598173406278,0.5714285714285714,49,False,False
0.0065869223,1.5875479e-08,0.060853887,0.0037031956,0.0,0.99804693,12.48329187637252,169.84959122015013,-20.100359,-17.95849,11.877697,141.07968,-123.347916,-0.0019550323,-1.931242922536018,7.678233459299182,0.5853658536585366,41,False,False
0.006837976,2.0249182e-08,0.052031893,0.002707318,2.5204310000000002e-39,0.9967614,12.463911935429817,182.39054419480996,-19.813482,-17.715157,11.719193,137.3395,-88.87639,-0.0032439232,-0.8728058662158131,0.6752154170765912,0.4444444444444444,18,False,False
0.0065001715,1.5619507e-08,0.05533615,0.0030620894,3e-45,0.9991597,12.735670121534996,183.08450114025507,-20.59164,-17.974747,12.968613,168.18492,-102.522224,-0.0008406639,-1.6420352516844907,4.382225719422387,0.5454545454545454,33,False,False
